Treatment Month,HSC Trust,% treated within 31 days,,,,,,,,
Jul-16,Southern,100.0,,,,,,,,
Jul-16,Western,100.0,,,,,,,,
Aug-16,Belfast,94.2,,,,,,,,
Aug-16,Northern,81.1,,,,,,,,
Aug-16,South Eastern,96.1,,,,,,,,
Aug-16,Southern,99.2,,,,,,,,
Aug-16,Western,100.0,,,,,,,,
Sep-16,Belfast,90.0,,,,,,,,
Sep-16,Northern,94.0,,,,,,,,
Sep-16,South Eastern,93.8,,,,,,,,
Sep-16,Southern,98.4,,,,,,,,
Sep-16,Western,100.0,,,,,,,,
Oct-16,Belfast,92.4,,,,,,,,
Oct-16,Northern,94.8,,,,,,,,
Oct-16,South Eastern,90.7,,,,,,,,
Oct-16,Southern,96.8,,,,,,,,
Oct-16,Western,100.0,,,,,,,,
Nov-16,Belfast,92.7,,,,,,,,
Nov-16,Northern,92.5,,,,,,,,
Nov-16,South Eastern,95.1,,,,,,,,
Nov-16,Southern,99.2,,,,,,,,
Nov-16,Western,100.0,,,,,,,,
Dec-16,Belfast,93.8,,,,,,,,
Dec-16,Northern,93.2,,,,,,,,
Dec-16,South Eastern,97.1,,,,,,,,
Dec-16,Southern,99.3,,,,,,,,
Dec-16,Western,100.0,,,,,,,,
Jan-17,Belfast,91.3,,,,,,,,
Jan-17,Northern,88.5,,,,,,,,
Jan-17,South Eastern,97.0,,,,,,,,
Jan-17,Southern,98.4,,,,,,,,
Jan-17,Western,100.0,,,,,,,,
Feb-17,Belfast,90.5,,,,,,,,
Feb-17,Northern,98.5,,,,,,,,
Feb-17,South Eastern,96.7,,,,,,,,
Feb-17,Southern,99.2,,,,,,,,
Feb-17,Western,100.0,,,,,,,,
Mar-17,Belfast,89.3,,,,,,,,
Mar-17,Northern,98.7,,,,,,,,
Mar-17,South Eastern,93.1,,,,,,,,
Mar-17,Southern,100.0,,,,,,,,
Mar-17,Western,100.0,,,,,,,,
Apr-17,Belfast,91.8,,,,,,,,
Apr-17,Northern,91.2,,,,,,,,
Apr-17,South Eastern,94.6,,,,,,,,
