Treatment Month,HSC Trust,% treated within 62 days,,,,,,
Feb-12,Northern,71.4,,,,,,
Feb-12,South Eastern,82.2,,,,,,
Feb-12,Southern,91.8,,,,,,
Feb-12,Western,66.1,,,,,,
Mar-12,Belfast,77.3,,,,,,
Mar-12,Northern,75.5,,,,,,
Mar-12,South Eastern,96.6,,,,,,
Mar-12,Southern,92.3,,,,,,
Mar-12,Western,91.4,,,,,,
Apr-12,Belfast,73.2,,,,,,
Apr-12,Northern,74.5,,,,,,
Apr-12,South Eastern,88.5,,,,,,
Apr-12,Southern,87.7,,,,,,
Apr-12,Western,81.5,,,,,,
May-12,Belfast,75.3,,,,,,
May-12,Northern,75.7,,,,,,
May-12,South Eastern,89.3,,,,,,
May-12,Southern,93.9,,,,,,
May-12,Western,73.8,,,,,,
Jun-12,Belfast,75.2,,,,,,
Jun-12,Northern,80.8,,,,,,
Jun-12,South Eastern,91.1,,,,,,
Jun-12,Southern,87.9,,,,,,
Jun-12,Western,81.7,,,,,,
Jul-12,Belfast,77.6,,,,,,
Jul-12,Northern,70.4,,,,,,
Jul-12,South Eastern,87.6,,,,,,
Jul-12,Southern,78.9,,,,,,
Jul-12,Western,89.0,,,,,,
Aug-12,Belfast,69.1,,,,,,
Aug-12,Northern,81.2,,,,,,
Aug-12,South Eastern,79.7,,,,,,
Aug-12,Southern,89.7,,,,,,
Aug-12,Western,90.8,,,,,,
Sep-12,Belfast,66.7,,,,,,
Sep-12,Northern,80.9,,,,,,
Sep-12,South Eastern,87.4,,,,,,
Sep-12,Southern,88.9,,,,,,
Sep-12,Western,88.2,,,,,,
Oct-12,Belfast,73.9,,,,,,
Oct-12,Northern,80.2,,,,,,
Oct-12,South Eastern,87.2,,,,,,
Oct-12,Southern,83.3,,,,,,
Oct-12,Western,84.1,,,,,,
Nov-12,Belfast,71.6,,,,,,
Nov-12,Northern,87.1,,,,,,
Nov-12,South Eastern,80.0,,,,,,
Nov-12,Southern,89.2,,,,,,
Nov-12,Western,90.7,,,,,,
Dec-12,Belfast,83.3,,,,,,
Dec-12,Northern,88.1,,,,,,
Dec-12,South Eastern,89.8,,,,,,
Dec-12,Southern,85.4,,,,,,
Dec-12,Western,92.2,,,,,,
Jan-13,Belfast,80.9,,,,,,
Jan-13,Northern,81.1,,,,,,
Jan-13,South Eastern,83.5,,,,,,
Jan-13,Southern,89.4,,,,,,
Jan-13,Western,88.0,,,,,,
Feb-13,Belfast,73.2,,,,,,
Feb-13,Northern,74.2,,,,,,
Feb-13,South Eastern,87.0,,,,,,
Feb-13,Southern,89.0,,,,,,
Feb-13,Western,82.1,,,,,,
Mar-13,Belfast,83.1,,,,,,
Mar-13,Northern,79.7,,,,,,
Mar-13,South Eastern,94.0,,,,,,
Mar-13,Southern,89.4,,,,,,
Mar-13,Western,95.5,,,,,,
Apr-13,Belfast,79.1,,,,,,
Apr-13,Northern,70.9,,,,,,
Apr-13,South Eastern,79.5,,,,,,
Apr-13,Southern,93.8,,,,,,
Apr-13,Western,88.9,,,,,,
May-13,Belfast,81.2,,,,,,
May-13,Northern,83.3,,,,,,
May-13,South Eastern,80.0,,,,,,
May-13,Southern,96.0,,,,,,
