Month Seen,HSC Trust,% seen within 14 days,,,,
Jan-13,Southern,72.2,,,,
Jan-13,Western,100.0,,,,
Feb-13,Belfast,100.0,,,,
Feb-13,Northern,100.0,,,,
Feb-13,South Eastern,98.3,,,,
Feb-13,Southern,98.1,,,,
Feb-13,Western,100.0,,,,
Mar-13,Belfast,100.0,,,,
Mar-13,Northern,100.0,,,,
Mar-13,South Eastern,100.0,,,,
Mar-13,Southern,100.0,,,,
Mar-13,Western,100.0,,,,
Apr-13,Belfast,100.0,,,,
Apr-13,Northern,77.7,,,,
Apr-13,South Eastern,100.0,,,,
Apr-13,Southern,100.0,,,,
Apr-13,Western,100.0,,,,
May-13,Belfast,99.6,,,,
May-13,Northern,97.8,,,,
May-13,South Eastern,100.0,,,,
May-13,Southern,96.3,,,,
May-13,Western,100.0,,,,
Jun-13,Belfast,100.0,,,,
Jun-13,Northern,53.3,,,,
Jun-13,South Eastern,100.0,,,,
Jun-13,Southern,90.7,,,,
Jun-13,Western,89.8,,,,
Jul-13,Belfast,100.0,,,,
Jul-13,Northern,50.7,,,,
Jul-13,South Eastern,99.2,,,,
Jul-13,Southern,97.7,,,,
Jul-13,Western,100.0,,,,
Aug-13,Belfast,100.0,,,,
Aug-13,Northern,100.0,,,,
Aug-13,South Eastern,94.4,,,,
Aug-13,Southern,88.1,,,,
Aug-13,Western,100.0,,,,
Sep-13,Belfast,99.6,,,,
Sep-13,Northern,86.5,,,,
Sep-13,South Eastern,95.0,,,,
Sep-13,Southern,45.8,,,,
Sep-13,Western,100.0,,,,
Oct-13,Belfast,100.0,,,,
Oct-13,Northern,100.0,,,,
Oct-13,South Eastern,92.9,,,,
Oct-13,Southern,50.2,,,,
Oct-13,Western,100.0,,,,
Nov-13,Belfast,88.1,,,,
Nov-13,Northern,100.0,,,,
Nov-13,South Eastern,17.9,,,,
Nov-13,Southern,25.6,,,,
Nov-13,Western,100.0,,,,
Dec-13,Belfast,95.7,,,,
Dec-13,Northern,54.2,,,,
Dec-13,South Eastern,67.2,,,,
Dec-13,Southern,82.9,,,,
Dec-13,Western,100.0,,,,
Jan-14,Belfast,94.9,,,,
Jan-14,Northern,69.3,,,,
Jan-14,South Eastern,74.8,,,,
Jan-14,Southern,53.7,,,,
Jan-14,Western,84.9,,,,
Feb-14,Belfast,100.0,,,,
